province;red;green;blue;
907;1;78;10;
908;84;132;211;
909;0;126;210;
910;42;129;83;
911;84;30;31;
912;85;54;6;
913;84;165;181;
914;168;186;57;
915;0;189;185;
916;42;192;58;
917;84;195;186;
918;126;198;59;
919;168;201;187;
920;0;204;60;
921;42;207;188;
922;84;210;61;
923;126;0;189;
924;168;3;62;
925;0;6;190;
926;42;9;63;
927;84;12;191;
928;126;15;64;
929;168;18;192;
930;0;21;65;
931;42;24;193;
932;84;27;66;
933;126;30;194;
934;168;33;67;
935;0;36;195;
936;42;39;68;
937;84;42;196;
938;126;45;69;
939;168;48;197;
940;0;51;70;
941;42;54;198;
942;0;54;35;
943;42;18;3;
944;168;63;72;
945;0;66;200;
946;42;69;73;
947;84;72;201;
948;126;75;74;
949;168;78;202;
950;0;81;75;
951;42;84;203;
952;0;96;205;
953;84;180;56;
954;126;183;184;
955;126;33;159;
956;84;15;156;
957;168;204;152;
958;42;132;48;
959;84;135;176;
960;168;171;182;
961;168;141;177;
962;0;144;50;
963;42;147;178;
964;84;150;51;
965;126;153;179;
966;168;156;52;
967;0;159;180;
968;42;162;53;
969;84;87;76;
970;168;21;157;
971;126;90;149;
972;168;108;207;
973;126;78;39;
974;42;27;158;
975;126;168;54;
976;42;210;153;
977;168;36;32;
978;0;39;160;
979;0;111;80;
980;42;12;28;
981;0;9;155;
982;168;51;162;
983;42;114;208;
984;42;57;163;
985;84;60;36;
986;126;63;164;
987;168;66;37;
988;0;69;165;
989;42;72;38;
990;84;75;166;
991;42;6;98;
992;168;81;167;
993;0;84;40;
994;42;87;168;
995;84;90;41;
996;126;93;169;
997;126;12;99;
998;0;99;170;
999;42;102;43;
1000;84;105;171;
1001;126;108;44;
1002;168;111;172;
1003;0;114;45;
1004;42;117;173;
1005;84;120;46;
1006;126;123;174;
1007;168;126;47;
1008;0;129;175;
1009;168;6;27;
1010;126;18;29;
1011;42;42;33;
1012;84;57;71;
1013;126;60;199;
1014;0;24;30;
1015;42;177;183;
1016;0;174;55;
1017;0;207;25;
1018;84;0;26;
1019;126;48;34;
1020;84;45;161;
1021;;85;39;
1022;126;105;79;
1023;42;99;78;
1024;168;93;77;
1025;126;90;204;
1027;85;99;141;
1028;127;102;14;
1029;169;105;142;
1030;1;108;15;
1031;43;111;143;
1032;85;114;16;
1033;127;117;144;
1034;169;120;17;
1035;1;123;145;
1036;43;126;18;
1037;85;129;146;
1038;127;132;19;
1039;169;135;147;
1040;1;138;20;
1041;43;141;148;
1042;85;144;21;
1043;127;147;149;
1044;169;150;22;
1045;1;153;150;
1046;43;156;23;
1047;85;159;151;
1048;127;162;24;
1049;169;165;152;
1050;1;168;25;
1051;43;171;153;
1052;85;174;26;
1053;127;177;154;
1054;169;180;27;
1055;1;183;155;
1056;43;186;28;
1057;85;189;156;
1058;127;192;29;
1059;169;195;157;
1060;1;198;30;
1061;43;201;158;
1062;85;204;31;
1063;127;207;159;
1064;169;210;32;
1065;1;0;160;
1066;43;3;33;
1067;85;6;161;
1068;127;9;34;
1069;169;12;162;
1070;1;15;35;
1071;43;18;163;
1072;85;21;36;
1073;127;24;164;
1074;169;27;37;
1075;1;30;165;
1076;43;33;38;
1077;85;36;166;
1078;127;39;39;
1079;169;42;167;
1080;1;45;40;
1081;43;48;168;
1082;85;51;41;
1083;127;54;169;
1084;169;57;42;
1085;1;60;170;
1086;43;63;43;
1087;85;66;171;
1088;127;69;44;
1089;169;72;172;
1090;1;75;45;
1091;43;78;173;
1092;85;81;46;
1093;127;84;174;
1094;169;87;47;
1095;1;90;175;
1096;43;93;48;
1097;85;96;176;
1098;127;99;49;
1099;169;102;177;
1100;1;105;50;
1101;43;108;178;
1102;85;111;51;
1103;127;114;179;
1104;169;117;52;
1105;1;120;180;
1106;43;123;53;
1107;85;126;181;
1108;127;129;54;
1109;169;132;182;
1110;1;135;55;
1111;43;138;183;
1112;85;141;56;
1113;127;144;184;
1114;169;147;57;
1115;1;150;185;
1116;43;153;58;
1117;85;156;186;
1118;127;159;59;
1119;169;162;187;
1120;1;165;60;
1121;43;168;188;
1122;85;171;61;
1123;127;174;189;
1124;169;177;62;
1125;1;180;190;
1126;43;183;63;
1127;85;186;191;
1128;127;189;64;
1129;169;192;192;
1130;1;195;65;
1131;43;198;193;
1132;85;201;66;
1133;127;204;194;
1134;169;207;67;
1135;1;210;195;
1136;43;0;68;
1137;85;3;196;
1138;127;6;69;
1139;169;9;197;
1140;1;12;70;
1141;43;15;198;
1142;85;18;71;
1143;127;21;199;
1144;169;24;72;
1145;1;27;200;
1146;43;30;73;
1147;85;33;201;
1148;127;36;74;
1149;169;39;202;
1150;1;42;75;
1151;43;45;203;
1152;85;48;76;
1153;127;51;204;
1154;169;54;77;
1155;1;57;205;
1156;43;60;78;
1157;85;63;206;
1158;127;66;79;
1159;169;69;207;
1160;1;72;80;
1161;43;75;208;
1162;85;78;81;
1163;127;81;209;
1164;169;84;82;
1165;1;87;210;
1166;43;90;83;
1167;85;93;211;
1168;127;96;84;
1169;169;99;212;
1170;1;102;85;
1171;43;105;213;
1172;85;108;86;
1173;127;111;214;
1174;169;114;87;
1175;1;117;215;
1176;43;120;88;
1177;85;123;216;
1178;127;126;89;
1179;169;129;217;
1180;1;132;90;
1181;43;135;218;
1182;85;138;91;
1183;127;141;219;
1184;169;144;92;
1185;1;147;220;
1186;43;150;93;
1187;85;153;221;
1188;127;156;94;
1189;169;159;222;
1190;1;162;95;
1191;43;165;223;
1192;85;168;96;
1193;127;171;224;
1194;169;174;97;
1195;1;177;225;
1196;43;180;98;
1197;85;183;226;
1198;127;186;99;
1199;169;189;227;
1200;1;192;0;
1201;43;195;128;
1202;85;198;1;
1203;127;201;129;
1204;169;204;2;
1205;1;207;130;
1206;43;210;3;
1207;85;0;131;
1208;127;3;4;
1209;169;6;132;
1210;1;9;5;
1211;43;12;133;
1212;85;15;6;
1213;127;18;134;
1214;169;21;7;
1215;1;24;135;
1216;43;27;8;
1217;85;30;136;
1218;127;33;9;
1219;169;36;137;
1220;1;39;10;
1221;43;42;138;
1222;85;45;11;
1223;127;48;139;
1224;169;51;12;
1225;1;54;140;
1226;43;57;13;
1227;85;60;141;
1228;127;63;14;
1229;169;66;142;
1230;1;69;15;
1231;43;72;143;
1232;85;75;16;
1233;127;78;144;
1234;169;81;17;
1235;1;84;145;
1236;43;87;18;
1237;85;90;146;
1238;127;93;19;
1239;169;96;147;
1240;1;99;20;
1241;43;102;148;
1242;85;105;21;
1243;127;108;149;
1244;169;111;22;
1245;1;114;150;
1246;43;117;23;
1247;85;120;151;
1248;127;123;24;
1249;169;126;152;
1250;1;129;25;
1251;43;132;153;
1252;85;135;26;
1253;127;138;154;
1254;169;141;27;
1255;1;144;155;
1256;43;147;28;
1257;85;150;156;
1258;127;153;29;
1259;169;156;157;
1260;1;159;30;
1261;43;162;158;
1262;85;165;31;
1263;127;168;159;
1264;169;171;32;
1265;1;174;160;
1266;43;177;33;
1267;85;180;161;
1268;127;183;34;
1269;169;186;162;
1270;1;189;35;
1271;43;192;163;
1272;85;195;36;
1273;127;198;164;
1274;169;201;37;
1275;1;204;165;
1276;43;207;38;
1277;85;210;166;
1278;127;0;39;
1279;169;3;167;
1280;1;6;40;
1281;43;9;168;
1282;85;12;41;
1283;127;15;169;
1284;169;18;42;
1285;1;21;170;
1286;43;24;43;
1287;85;27;171;
1288;127;30;44;
1289;169;33;172;
1290;1;36;45;
1291;43;39;173;
1292;85;42;46;
1293;127;45;174;
1294;169;48;47;
1295;1;51;175;
1296;43;54;48;
1297;85;57;176;
1298;127;60;49;
1299;169;63;177;
1300;1;66;50;
1301;43;69;178;
1302;85;72;51;
1303;127;75;179;
1304;169;78;52;
1305;1;81;180;
1306;43;84;53;
1307;85;87;181;
1308;127;90;54;
1309;169;93;182;
1310;1;96;55;
1311;43;99;183;
1312;85;102;56;
1313;127;105;184;
1314;169;108;57;
1315;1;111;185;
1316;43;114;58;
1317;85;117;186;
1318;127;120;59;
1319;169;123;187;
1320;1;126;60;
1321;43;129;188;
1322;85;132;61;
1323;127;135;189;
1324;169;138;62;
1325;1;141;190;
1326;43;144;63;
1327;85;147;191;
1328;127;150;64;
1329;169;153;192;
1330;1;156;65;
1331;43;159;193;
1332;85;162;66;
1333;127;165;194;
1334;169;168;67;
1335;1;171;195;
1336;43;174;68;
1337;85;177;196;
1338;127;180;69;
1339;169;183;197;
1340;1;186;70;
1341;43;189;198;
1342;85;192;71;
1343;127;195;199;
1344;169;198;72;
1345;1;201;200;
1346;43;204;73;
1347;85;207;201;
1348;127;210;74;
1349;169;0;202;
1350;1;3;75;
1351;43;6;203;
1352;85;9;76;
1353;127;12;204;
1354;169;15;77;
1355;1;18;205;
1356;43;21;78;
1357;85;24;206;
1358;127;27;79;
1359;169;30;207;
1360;1;33;80;
1361;43;36;208;
1362;85;39;81;
1363;127;42;209;
1364;169;45;82;
1365;1;48;210;
1366;43;51;83;
1367;85;54;211;
1368;127;57;84;
1369;169;60;212;
1370;1;63;85;
1371;43;66;213;
1372;85;69;86;
1373;127;72;214;
1374;169;75;87;
1375;1;78;215;
1376;43;81;88;
1377;85;84;216;
1378;127;87;89;
1379;169;90;217;
1380;1;93;90;
1381;43;96;218;
1382;85;99;91;
1383;127;102;219;
1384;169;105;92;
1385;1;108;220;
1386;43;111;93;
1387;85;114;221;
1388;127;117;94;
1389;169;120;222;
1390;1;123;95;
1391;43;126;223;
1392;85;129;96;
1393;127;132;224;
1394;169;135;97;
1395;1;138;225;
1396;43;141;98;
1397;85;144;226;
1398;127;147;99;
1399;169;150;227;
1400;1;153;0;
1401;43;156;128;
1402;85;159;1;
1403;127;162;129;
1404;169;165;2;
1405;1;168;130;
1406;43;171;3;
1407;85;174;131;
1408;127;177;4;
1409;169;180;132;
1410;1;183;5;
1411;43;186;133;
1412;85;189;6;
1413;127;192;134;
1414;169;195;7;
1415;1;198;135;
1416;43;201;8;
1417;85;204;136;
1418;127;207;9;
1419;169;210;137;
1420;1;0;10;
1421;43;3;138;
1422;85;6;11;
1423;127;9;139;
1424;169;12;12;
1425;1;15;140;
1426;43;18;13;
1427;85;21;141;
1428;127;24;14;
1429;169;27;142;
1430;1;30;15;
1431;43;33;143;
1432;85;36;16;
1433;127;39;144;
1434;169;42;17;
1435;1;45;145;
1436;43;48;18;
1437;85;51;146;
1438;127;54;19;
1439;169;57;147;
1440;1;60;20;
1441;43;63;148;
1442;85;66;21;
1443;127;69;149;
1444;169;72;22;
1445;1;75;150;
1446;43;78;23;
1447;85;81;151;
1448;127;84;24;
1449;169;87;152;
1450;1;90;25;
1451;43;93;153;
1452;85;96;26;
1453;127;99;154;
1454;169;102;27;
1455;1;105;155;
1456;43;108;28;
1457;85;111;156;
1458;127;114;29;
1459;169;117;157;
1460;1;120;30;
1461;43;123;158;
1462;85;126;31;
1463;127;129;159;
1464;169;132;32;
1465;1;135;160;
1466;43;138;33;
1467;85;141;161;
1468;127;144;34;
1469;169;147;162;
1470;1;150;35;
1471;43;153;163;
1472;85;156;36;
1473;127;159;164;
1474;169;162;37;
1475;1;165;165;
1476;43;168;38;
1477;85;171;166;
1478;127;174;39;
1479;169;177;167;
1480;1;180;40;
1481;43;183;168;
1482;85;186;41;
1483;127;189;169;
1484;169;192;42;
1485;1;195;170;
1486;43;198;43;
1487;85;201;171;
1488;127;204;44;
1489;169;207;172;
1490;1;210;45;
1491;43;0;173;
